Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
BBc,Failure,16,2,2024-10-18 16:18:00 +0530,2025-02-25 15:27:06 +0530,0:00:07
Amazon,Success,6,1,2024-10-21 11:57:16 +0530,2024-10-21 12:16:14 +0530,0:00:47
BBc1,Success,30,11,2024-10-21 10:51:39 +0530,2024-10-21 11:51:56 +0530,0:00:06
Delimiter,Failure,7,3,2024-10-16 15:54:49 +0530,2024-10-16 16:02:07 +0530,0:00:00
master,Failure,22,11,2024-10-16 11:34:45 +0530,2024-10-16 16:28:15 +0530,0:00:12
Login,Success,1,0,2024-10-18 15:56:33 +0530,2024-10-18 15:56:33 +0530,0:00:09
dataconnection,Failure,30,17,2024-10-16 12:54:29 +0530,2024-10-16 15:03:05 +0530,0:00:00
Script, Image and Debugging,Failure,55,13,2024-10-14 09:55:35 +0530,2025-02-25 15:10:52 +0530,0:00:21
Handlerpractice,Success,2,0,2024-10-16 16:25:49 +0530,2024-10-16 16:26:07 +0530,0:00:00
Register,Success,1,0,2024-10-18 15:47:51 +0530,2024-10-18 15:47:51 +0530,0:00:30
openapp,Success,1,0,2024-10-18 15:06:57 +0530,2024-10-18 15:06:57 +0530,0:00:01
